тип_прямоугольника,N,площадь,абсолютная_ошибка,относительная_ошибка
широкий,100,0.777771,0.166746,0.176541
узкий,100,0.82,0.124517,0.131832
широкий,600,1.05323,0.108714,0.1151
узкий,600,0.773333,0.171184,0.18124
широкий,1100,0.883831,0.0606866,0.0642515
узкий,1100,0.798182,0.146335,0.154931
широкий,1600,0.929679,0.0148379,0.0157095
узкий,1600,0.79375,0.150767,0.159624
широкий,2100,0.90277,0.0417474,0.0441997
узкий,2100,0.794286,0.150231,0.159056
широкий,2600,0.800207,0.144311,0.152788
узкий,2600,0.787308,0.157209,0.166444
широкий,3100,0.953397,0.00887937,0.00940096
узкий,3100,0.789032,0.155485,0.164618
широкий,3600,0.993818,0.0493012,0.0521972
узкий,3600,0.782778,0.161739,0.17124
широкий,4100,0.972214,0.0276964,0.0293234
узкий,4100,0.770244,0.174273,0.18451
широкий,4600,0.980668,0.0361504,0.038274
узкий,4600,0.795652,0.148865,0.15761
широкий,5100,0.905493,0.0390241,0.0413165
узкий,5100,0.78549,0.159027,0.168369
широкий,5600,0.923603,0.0209143,0.0221428
узкий,5600,0.786964,0.157553,0.166808
широкий,6100,0.902087,0.0424305,0.0449229
узкий,6100,0.781311,0.163206,0.172793
широкий,6600,0.911819,0.0326987,0.0346195
узкий,6600,0.78303,0.161487,0.170973
широкий,7100,0.963998,0.0194805,0.0206248
узкий,7100,0.785915,0.158602,0.167918
широкий,7600,0.990123,0.0456056,0.0482846
узкий,7600,0.785132,0.159386,0.168748
широкий,8100,0.968613,0.0240956,0.025511
узкий,8100,0.777037,0.16748,0.177318
широкий,8600,0.98691,0.0423927,0.0448829
узкий,8600,0.783256,0.161261,0.170734
широкий,9100,0.90277,0.0417474,0.0441997
узкий,9100,0.785824,0.158693,0.168015
широкий,9600,0.928667,0.0158507,0.0167818
узкий,9600,0.785729,0.158788,0.168116
широкий,10100,0.921196,0.0233207,0.0246906
узкий,10100,0.791584,0.152933,0.161917
широкий,10600,0.940112,0.00440498,0.00466374
узкий,10600,0.785377,0.15914,0.168488
широкий,11100,0.939806,0.00471071,0.00498743
узкий,11100,0.772613,0.171905,0.182003
широкий,11600,0.907679,0.0368385,0.0390024
узкий,11600,0.782586,0.161931,0.171443
широкий,12100,1.00355,0.0590322,0.0624999
узкий,12100,0.787273,0.157244,0.166481
широкий,12600,0.963726,0.0192088,0.0203372
узкий,12600,0.788889,0.155628,0.16477
широкий,13100,0.908389,0.0361283,0.0382505
узкий,13100,0.78542,0.159097,0.168443
широкий,13600,0.932896,0.0116211,0.0123037
узкий,13600,0.786985,0.157532,0.166786
широкий,14100,0.931532,0.0129849,0.0137476
узкий,14100,0.781348,0.16317,0.172755
широкий,14600,0.940916,0.00360088,0.0038124
узкий,14600,0.785411,0.159106,0.168452
широкий,15100,0.981871,0.0373542,0.0395484
узкий,15100,0.779801,0.164716,0.174392
широкий,15600,0.93669,0.00782678,0.00828654
узкий,15600,0.779423,0.165094,0.174792
широкий,16100,0.906997,0.0375204,0.0397244
узкий,16100,0.776894,0.167623,0.177469
широкий,16600,0.941759,0.00275847,0.00292051
узкий,16600,0.787048,0.157469,0.166719
широкий,17100,0.913653,0.0308638,0.0326768
узкий,17100,0.787251,0.157266,0.166504
широкий,17600,0.938518,0.00599963,0.00635206
узкий,17600,0.78767,0.156847,0.16606
широкий,18100,0.953414,0.0088967,0.00941931
узкий,18100,0.783978,0.160539,0.16997
широкий,18600,0.948692,0.00417511,0.00442037
узкий,18600,0.782043,0.162474,0.172018
широкий,19100,0.944218,0.00029927,0.00031685
узкий,19100,0.785236,0.159282,0.168638
широкий,19600,0.973702,0.0291845,0.0308988
узкий,19600,0.786071,0.158446,0.167753
широкий,20100,0.951415,0.00689781,0.007303
узкий,20100,0.780697,0.163821,0.173444
широкий,20600,0.953336,0.00881848,0.00933649
узкий,20600,0.784951,0.159566,0.168939
широкий,21100,0.92798,0.016537,0.0175084
узкий,21100,0.780995,0.163522,0.173128
широкий,21600,0.936656,0.0078614,0.0083232
узкий,21600,0.783704,0.160813,0.17026
широкий,22100,0.955937,0.0114195,0.0120903
узкий,22100,0.784344,0.160173,0.169582
широкий,22600,0.919301,0.0252161,0.0266973
узкий,22600,0.78354,0.160977,0.170433
широкий,23100,0.918342,0.0261752,0.0277127
узкий,23100,0.789957,0.15456,0.16364
широкий,23600,0.949968,0.00545084,0.00577104
узкий,23600,0.785636,0.158882,0.168215
широкий,24100,0.931469,0.0130478,0.0138143
узкий,24100,0.786846,0.157671,0.166933
широкий,24600,0.959172,0.0146545,0.0155154
узкий,24600,0.785285,0.159233,0.168586
широкий,25100,0.9451,0.000582883,0.000617123
узкий,25100,0.78502,0.159497,0.168866
широкий,25600,0.980948,0.0364311,0.0385712
узкий,25600,0.781523,0.162994,0.172568
широкий,26100,0.902929,0.0415878,0.0440307
узкий,26100,0.78613,0.158387,0.167691
широкий,26600,0.929085,0.0154319,0.0163384
узкий,26600,0.783985,0.160532,0.169962
широкий,27100,0.96181,0.0172926,0.0183085
узкий,27100,0.785941,0.158576,0.167891
широкий,27600,0.962703,0.0181856,0.0192539
узкий,27600,0.787717,0.1568,0.166011
широкий,28100,0.942459,0.00205817,0.00217907
узкий,28100,0.788256,0.156261,0.16544
широкий,28600,0.931081,0.0134357,0.0142249
узкий,28600,0.78042,0.164098,0.173737
широкий,29100,0.949829,0.00531211,0.00562415
узкий,29100,0.78945,0.155067,0.164176
широкий,29600,0.931157,0.0133599,0.0141447
узкий,29600,0.787297,0.15722,0.166455
широкий,30100,0.973183,0.0286654,0.0303493
узкий,30100,0.784751,0.159766,0.169151
широкий,30600,0.969672,0.0251547,0.0266323
узкий,30600,0.785915,0.158602,0.167919
широкий,31100,0.941891,0.00262665,0.00278095
узкий,31100,0.784695,0.159823,0.169211
широкий,31600,0.932833,0.0116844,0.0123708
узкий,31600,0.786741,0.157777,0.167045
широкий,32100,0.95495,0.0104328,0.0110456
узкий,32100,0.786916,0.157601,0.166859
широкий,32600,0.915551,0.0289663,0.0306679
узкий,32600,0.784264,0.160253,0.169667
широкий,33100,0.942842,0.0016756,0.00177403
узкий,33100,0.78136,0.163158,0.172742
широкий,33600,0.953985,0.0094674,0.0100235
узкий,33600,0.780804,0.163714,0.17333
широкий,34100,0.937145,0.00737171,0.00780473
узкий,34100,0.787038,0.157479,0.16673
широкий,34600,0.936247,0.00826987,0.00875566
узкий,34600,0.785405,0.159113,0.168459
широкий,35100,0.960857,0.0163401,0.0172999
узкий,35100,0.784302,0.160215,0.169627
широкий,35600,0.969483,0.0249655,0.026432
узкий,35600,0.783455,0.161062,0.170523
широкий,36100,0.928316,0.0162013,0.017153
узкий,36100,0.784183,0.160334,0.169753
широкий,36600,0.929712,0.0148047,0.0156744
узкий,36600,0.783989,0.160528,0.169958
широкий,37100,0.946008,0.00149119,0.00157879
узкий,37100,0.784798,0.159719,0.169102
широкий,37600,0.955924,0.0114067,0.0120767
узкий,37600,0.783989,0.160528,0.169958
широкий,38100,0.956903,0.012386,0.0131135
узкий,38100,0.787953,0.156564,0.165761
широкий,38600,0.95282,0.00830251,0.00879022
узкий,38600,0.780855,0.163662,0.173276
широкий,39100,0.951824,0.00730728,0.00773652
узкий,39100,0.783657,0.16086,0.170309
широкий,39600,0.92704,0.0174772,0.0185038
узкий,39600,0.788106,0.156411,0.165599
широкий,40100,0.937059,0.00745845,0.00789657
узкий,40100,0.784489,0.160028,0.169429
широкий,40600,0.965509,0.0209915,0.0222246
узкий,40600,0.779975,0.164542,0.174207
широкий,41100,0.931764,0.0127534,0.0135025
узкий,41100,0.786715,0.157802,0.167071
широкий,41600,0.950012,0.00549442,0.00581717
узкий,41600,0.786659,0.157859,0.167131
широкий,42100,0.942655,0.00186258,0.00197199
узкий,42100,0.785463,0.159054,0.168397
широкий,42600,0.938665,0.00585181,0.00619555
узкий,42600,0.787371,0.157146,0.166377
широкий,43100,0.927099,0.0174179,0.0184411
узкий,43100,0.787123,0.157394,0.16664
широкий,43600,0.94055,0.00396743,0.00420048
узкий,43600,0.785344,0.159173,0.168523
широкий,44100,0.928784,0.0157335,0.0166578
узкий,44100,0.782517,0.162,0.171516
широкий,44600,0.946055,0.0015382,0.00162855
узкий,44600,0.788072,0.156445,0.165635
широкий,45100,0.941603,0.00291431,0.0030855
узкий,45100,0.78714,0.157377,0.166622
широкий,45600,0.935756,0.0087616,0.00927627
узкий,45600,0.786382,0.158136,0.167425
широкий,46100,0.925185,0.0193326,0.0204682
узкий,46100,0.788091,0.156426,0.165615
широкий,46600,0.949473,0.00495579,0.0052469
узкий,46600,0.782661,0.161856,0.171364
широкий,47100,0.92061,0.0239073,0.0253116
узкий,47100,0.783418,0.161099,0.170562
широкий,47600,0.951993,0.007476,0.00791516
узкий,47600,0.783929,0.160589,0.170022
широкий,48100,0.931991,0.0125261,0.013262
узкий,48100,0.783222,0.161295,0.17077
широкий,48600,0.95661,0.012093,0.0128033
узкий,48600,0.783066,0.161451,0.170935
широкий,49100,0.957957,0.0134399,0.0142294
узкий,49100,0.786619,0.157898,0.167173
широкий,49600,0.938108,0.00640947,0.00678598
узкий,49600,0.78381,0.160707,0.170147
широкий,50100,0.943688,0.000829618,0.000878351
узкий,50100,0.79018,0.154338,0.163404
широкий,50600,0.935515,0.00900177,0.00953055
узкий,50600,0.785949,0.158569,0.167883
широкий,51100,0.96232,0.017803,0.0188488
узкий,51100,0.786125,0.158392,0.167696
широкий,51600,0.958083,0.0135654,0.0143623
узкий,51600,0.785911,0.158606,0.167923
широкий,52100,0.945902,0.00138506,0.00146642
узкий,52100,0.78476,0.159757,0.169142
широкий,52600,0.97018,0.0256633,0.0271708
узкий,52600,0.788004,0.156513,0.165707
широкий,53100,0.94237,0.00214744,0.00227358
узкий,53100,0.785367,0.15915,0.168499
широкий,53600,0.938658,0.00585947,0.00620367
узкий,53600,0.783918,0.160599,0.170033
широкий,54100,0.938429,0.00608846,0.00644611
узкий,54100,0.785675,0.158843,0.168173
широкий,54600,0.963311,0.0187934,0.0198973
узкий,54600,0.786081,0.158437,0.167743
широкий,55100,0.924926,0.0195909,0.0207417
узкий,55100,0.783067,0.16145,0.170934
широкий,55600,0.916259,0.0282583,0.0299183
узкий,55600,0.783417,0.1611,0.170563
широкий,56100,0.934088,0.0104296,0.0110423
узкий,56100,0.785847,0.15867,0.167991
широкий,56600,0.95143,0.00691234,0.00731838
узкий,56600,0.787809,0.156708,0.165913
широкий,57100,0.955357,0.0108402,0.0114769
узкий,57100,0.785149,0.159368,0.16873
широкий,57600,0.946052,0.00153441,0.00162455
узкий,57600,0.783038,0.161479,0.170965
широкий,58100,0.948954,0.00443691,0.00469754
узкий,58100,0.785404,0.159113,0.168459
широкий,58600,0.93953,0.00498722,0.00528018
узкий,58600,0.78471,0.159807,0.169195
широкий,59100,0.963001,0.0184842,0.01957
узкий,59100,0.785956,0.158561,0.167875
широкий,59600,0.937468,0.00704881,0.00746287
узкий,59600,0.785453,0.159064,0.168408
широкий,60100,0.945037,0.000519723,0.000550253
узкий,60100,0.786589,0.157928,0.167205
широкий,60600,0.964834,0.0203166,0.02151
узкий,60600,0.786502,0.158016,0.167298
широкий,61100,0.961234,0.0167172,0.0176992
узкий,61100,0.785712,0.158805,0.168134
широкий,61600,0.935598,0.00891943,0.00944337
узкий,61600,0.784692,0.159826,0.169214
широкий,62100,0.950296,0.00577855,0.00611799
узкий,62100,0.783237,0.16128,0.170754
широкий,62600,0.924069,0.0204484,0.0216495
узкий,62600,0.788514,0.156003,0.165167
широкий,63100,0.944942,0.000425125,0.000450098
узкий,63100,0.784707,0.15981,0.169198
широкий,63600,0.940112,0.00440498,0.00466374
узкий,63600,0.785126,0.159391,0.168754
широкий,64100,0.929746,0.0147716,0.0156393
узкий,64100,0.786864,0.157653,0.166914
широкий,64600,0.948435,0.00391781,0.00414795
узкий,64600,0.783994,0.160523,0.169953
широкий,65100,0.923976,0.0205409,0.0217475
узкий,65100,0.784639,0.159878,0.16927
широкий,65600,0.938423,0.00609394,0.00645191
узкий,65600,0.782957,0.16156,0.17105
широкий,66100,0.932943,0.0115745,0.0122545
узкий,66100,0.786596,0.157921,0.167198
широкий,66600,0.938931,0.00558658,0.00591475
узкий,66600,0.783784,0.160733,0.170175
широкий,67100,0.953813,0.00929535,0.00984137
узкий,67100,0.783964,0.160553,0.169984
широкий,67600,0.954812,0.0102944,0.0108991
узкий,67600,0.785133,0.159384,0.168747
широкий,68100,0.961935,0.0174175,0.0184406
узкий,68100,0.786446,0.158071,0.167356
широкий,68600,0.932957,0.0115606,0.0122397
узкий,68600,0.78312,0.161398,0.170878
широкий,69100,0.94717,0.00265241,0.00280822
узкий,69100,0.784891,0.159626,0.169002
широкий,69600,0.952239,0.00772133,0.0081749
узкий,69600,0.786351,0.158167,0.167458
широкий,70100,0.962089,0.0175721,0.0186043
узкий,70100,0.784451,0.160066,0.169469
широкий,70600,0.965053,0.0205356,0.0217419
узкий,70600,0.785977,0.15854,0.167853
широкий,71100,0.954027,0.00951014,0.0100688
узкий,71100,0.786146,0.158371,0.167674
широкий,71600,0.939354,0.00516332,0.00546663
узкий,71600,0.78486,0.159657,0.169035
широкий,72100,0.951718,0.00720037,0.00762333
узкий,72100,0.787393,0.157125,0.166354
широкий,72600,0.965786,0.0212686,0.0225179
узкий,72600,0.785262,0.159255,0.16861
широкий,73100,0.954259,0.00974171,0.010314
узкий,73100,0.783064,0.161453,0.170937
широкий,73600,0.940247,0.0042704,0.00452125
узкий,73600,0.78462,0.159898,0.16929
широкий,74100,0.970508,0.0259908,0.0275175
узкий,74100,0.784305,0.160212,0.169623
широкий,74600,0.954229,0.00971176,0.0102822
узкий,74600,0.784223,0.160295,0.169711
широкий,75100,0.958362,0.0138446,0.0146579
узкий,75100,0.787483,0.157034,0.166258
широкий,75600,0.956139,0.0116214,0.0123041
узкий,75600,0.785317,0.1592,0.168551
широкий,76100,0.932737,0.0117798,0.0124718
узкий,76100,0.78523,0.159287,0.168644
широкий,76600,0.938706,0.00581069,0.00615202
узкий,76600,0.785274,0.159243,0.168597
широкий,77100,0.942833,0.00168436,0.00178331
узкий,77100,0.785305,0.159212,0.168565
широкий,77600,0.948409,0.00389221,0.00412085
узкий,77600,0.785425,0.159092,0.168437
широкий,78100,0.957027,0.0125095,0.0132443
узкий,78100,0.785378,0.159139,0.168488
широкий,78600,0.95032,0.00580305,0.00614393
узкий,78600,0.783728,0.160789,0.170235
широкий,79100,0.947755,0.00323743,0.00342761
узкий,79100,0.784905,0.159612,0.168988
широкий,79600,0.949985,0.00546741,0.00578857
узкий,79600,0.782714,0.161804,0.171308
широкий,80100,0.951944,0.00742679,0.00786305
узкий,80100,0.784819,0.159698,0.169079
широкий,80600,0.944229,0.000287902,0.000304814
узкий,80600,0.784814,0.159703,0.169085
широкий,81100,0.941045,0.00347197,0.00367592
узкий,81100,0.784291,0.160226,0.169638
широкий,81600,0.920982,0.0235354,0.024918
узкий,81600,0.784608,0.159909,0.169303
широкий,82100,0.924609,0.0199077,0.0210771
узкий,82100,0.785993,0.158524,0.167837
широкий,82600,0.941611,0.00290596,0.00307666
узкий,82600,0.786271,0.158246,0.167542
широкий,83100,0.949868,0.00535071,0.00566502
узкий,83100,0.783538,0.160979,0.170436
широкий,83600,0.937209,0.00730793,0.00773721
узкий,83600,0.786148,0.158369,0.167672
широкий,84100,0.957763,0.0132461,0.0140243
узкий,84100,0.785018,0.159499,0.168869
широкий,84600,0.947391,0.00287393,0.00304276
узкий,84600,0.784716,0.159801,0.169188
широкий,85100,0.954049,0.00953167,0.0100916
узкий,85100,0.78584,0.158677,0.167998
широкий,85600,0.93019,0.0143268,0.0151684
узкий,85600,0.783248,0.16127,0.170743
широкий,86100,0.933596,0.0109211,0.0115627
узкий,86100,0.785714,0.158803,0.168131
широкий,86600,0.950546,0.00602929,0.00638347
узкий,86600,0.785635,0.158882,0.168215
широкий,87100,0.927565,0.0169517,0.0179475
узкий,87100,0.783869,0.160648,0.170085
широкий,87600,0.942359,0.00215809,0.00228487
узкий,87600,0.786027,0.15849,0.1678
широкий,88100,0.930941,0.0135758,0.0143732
узкий,88100,0.786697,0.15782,0.167091
широкий,88600,0.929419,0.0150985,0.0159855
узкий,88600,0.782314,0.162203,0.171732
широкий,89100,0.937406,0.00711124,0.00752897
узкий,89100,0.786902,0.157615,0.166873
широкий,89600,0.940638,0.00387883,0.00410668
узкий,89600,0.78567,0.158848,0.168179
широкий,90100,0.962502,0.0179851,0.0190415
узкий,90100,0.784539,0.159978,0.169375
широкий,90600,0.959015,0.0144975,0.0153491
узкий,90600,0.78415,0.160367,0.169787
широкий,91100,0.946174,0.00165688,0.00175421
узкий,91100,0.784676,0.159841,0.16923
широкий,91600,0.933686,0.0108313,0.0114675
узкий,91600,0.78512,0.159397,0.16876
широкий,92100,0.960919,0.0164014,0.0173649
узкий,92100,0.784843,0.159675,0.169054
широкий,92600,0.951845,0.00732822,0.00775869
узкий,92600,0.785108,0.159409,0.168773
широкий,93100,0.945376,0.00085872,0.000909162
узкий,93100,0.783222,0.161295,0.17077
широкий,93600,0.954764,0.0102464,0.0108483
узкий,93600,0.784797,0.15972,0.169102
широкий,94100,0.948244,0.00372685,0.00394577
узкий,94100,0.785016,0.159501,0.168871
широкий,94600,0.947754,0.00323691,0.00342706
узкий,94600,0.784302,0.160215,0.169626
широкий,95100,0.917827,0.0266903,0.0282581
узкий,95100,0.787907,0.15661,0.165809
широкий,95600,0.933569,0.0109481,0.0115912
узкий,95600,0.785199,0.159318,0.168677
широкий,96100,0.92851,0.0160077,0.016948
узкий,96100,0.784412,0.160105,0.16951
широкий,96600,0.957419,0.0129019,0.0136597
узкий,96600,0.785973,0.158544,0.167857
широкий,97100,0.952088,0.00757129,0.00801604
узкий,97100,0.786035,0.158482,0.167792
широкий,97600,0.942828,0.00168914,0.00178837
узкий,97600,0.784928,0.159589,0.168963
широкий,98100,0.949519,0.00500152,0.00529531
узкий,98100,0.78735,0.157168,0.1664
широкий,98600,0.964325,0.0198083,0.0209718
узкий,98600,0.785314,0.159203,0.168555
широкий,99100,0.944548,3.09975e-05,3.28184e-05
узкий,99100,0.786347,0.15817,0.167461
широкий,99600,0.952984,0.00846688,0.00896425
узкий,99600,0.783504,0.161013,0.170471
